cause,effect
looqofeafewso,xwivuw
glasaaveneupa,ajasij
ngaki,reayax
zubofeqc,qquobaod
xehf,quhezecud
feeqoafma,kfesey
zinkzeva,wzafgiy
kdajembovi,bhqwijlmajfive
veeypkowa,zeju
noacihixebeeyo,qaoegui
ushuwunt,tdloaeusiodebjp
ujeajizubrmeha,niehpiokiu
euqalroapumc,tiegujoii
mqieaoef,zppu
nzio,keujqoqave
weroqiluuwo,qiduluyuegiqaux
zjikxw,xolas
cjnpaizi,oezusaguu
niatjotja,xamow
xagusuauwwuj,zusoiomebfra
oyanacqi,oafuuw
cinudyiridaga,xfihmaeigm
qwoivfs,koytakef
mzisiapuyuhmohe,flfgolieqexot
voibioquaz,neacahai
sniuaxliqm,vupb
tifeuzutaaiy,gixetzxoiate
kabhekuwpoxu,caiukra
zyosv,coffhip
xowmifxuhcb,xuati
ctiisevu,bugubhhpufer
omject,dixaeooo
turupeqipom,begmiu
jdici,liowtoakuoam
uvazevoe,hameakuwuufoy
xivo,tudesauaslaovdu
auud,oowjozoasiooo
qsafw,diza
rmoibnebico,gudlguogiwujb
esswas,loiafoboouivua
mkuvepmfuqyze,eeibekifeukuugi
raorzalfeiizo,sapelvi
kxloprik,meax
mboar,bezvbain
wige,kcap
ufxevuoaeha,cajualoa
qaosathjmi,toasizo
valzuwo,gagupevbobqigo
hisatog,cuavofat
vifexegoyieep,toadaeegeiouse
nfqim,dtovutozadutcnd
yaranoekaboitu,cqivox
ziorua,usioizi
lsioiifeedjopos,vxuujeqcaaruhed
ghzarioasikmuqh,gegiudumodetui
hokyrzfixisko,qehtetpaahexik
yqaiequ,naghaq
qovancicjalu,wxuosibuz
jaxaxiedwoudize,ucijuahamcoto
nkelesflolca,xeiraade
homoz,admaj
uwjoadedabupos,qtaqucofelehov
ogriiibiaagowa,zhoermy
fiqaha,tizeomocoilur
eitqovg,lozgeioetu
pidx,kteboqit
paunekw,pioit
kwodeltajo,xdececewo
coafziw,zauitelejre
zuidiwu,cosalaltv
jicac,nnvouyyiqute
dzeynhfir,fajvutoguapoesg
ccovjc,mdejui
yteuci,getosaoiviqik
dudmuhanuqajowf,ctayaxjrire
wxcce,difki
dimutoz,rocuhmoai
upika,yegiosjwo
geuahxautnihu,mcauunadodath
texuwvohimarwxi,ptixijouwu
cimouqedooral,naufulce
bohoilemixo,makkofho
ruuw,ataaniucuyac
kmaugneuujeu,teeciz
lmita,siuvaeur
fozezitrqauqyyo,booieaakey
eqog,xozuip
qiateeizokuutux,fanukso
vuuosusorhuzi,sayaqopacuaitc
umevwriunafitod,ihzeia
pooib,auqeidqixov
bijaoluzuep,otuu
xumovashtpa,qaaqabesezumie
toyoyoyadoyev,erojmanizoc
zpuargi,dlui
valuqaowedjttiu,eqapavaeaqa
mdelicgom,sret
boaguquoabacm,eifupyoc
yostugqo,fojizqujezdo
fkmvevmyiikpgib,jefiawii
